pcm_Latn	sentiment
Di film no dey great, bit of overreaching of di actors (maybe over-directed?) but di context dey great	negative
Low quality for Such a High Budget	negative
Beta plot. Terrible post-production	negative
No recommended	negative
great tori, poor acting	negative
A star studded film wey make stars look like say dem dey act kindergarten play	negative
No recommended	negative
Preposterous! Horrendous! Disgraceful! A glowing shame	negative
Dis film lineup dey make me wan like am desperately, but e dey difficult to relish amid di dim screenwriting by Genevieve Nnaji	negative
By sure, one of di worst horror movies wey dem don do before na	negative
Talk about di acting though, di story script, e be something out of dis world	negative
"Even if dem dey falsely classified as ""Horror"", ""Bridal Shower"" no be horror-movie. E be Stupid-movie- Completely and utterly stupid"	negative
e dey wholesomely pointless - A desperate moni grab	negative
Major disappointment	negative
Boring	negative
Charming but incompetent	negative
Ruined by technical malfeasance, 'The Perfect Picture' proves to be miles away from being perfect	negative
Make you slow moving predictability . This film go dey for junior high circuit	negative
but di sound and music dey bad sotey e destroy anything good	negative
I no watch all dis crap. No even second rate, obviously racially inclined crap from Africa nation wit no film industry.	negative
Good storyline, poor execution	negative
Di act dey bad, di soundtrack dey repeatable, di storyline dey... (if na one I go describe am for here).	negative
Di plot dey good, but di technical aspect no dey good at all	negative
Clunky, clumsy handling of a book wit (here untapped) depth	negative
E no get anything wey good about 'That Which Binds Us'	negative
Di production of dis film dey tight but di heart dey miss	negative
Focused as e dey on di relationship wey dey between Joseph and Suzy, di film sheds little light on di February 13, 1976, assasination, wey bring Olusegan Obasanjo kom power	negative
Utter rubbish! Dis no be serious pipo. Please, no reward dem wit your Naira	negative
dis film suppose be di most depressing Romantic comedy wey we neva see	negative
Maybe na di worst act wey e dey do for film wey be say dem dey make am wit enough moni.	negative
Way too slow. Na waste of time	negative
I no fit believe say I spend 2 hours watch dis film	negative
I no really like dis film	negative
PLOT IS ALMOST EMPTY	negative
weak dialogue, amateurish battle scenes	negative
From poor directing to crap story; acting wey dey questionable to illogicality; shallow sceenwriting to bad editing..	negative
Dis film dey ugly	negative
Apart from say e dey terribly predictable and featuring generally below average acting, e dey plagued by a be-fumbling series of subpar attempt to recreate worn out crime caper staples.	negative
I hate how dem take dey call dis film	negative
Bland and dreary, 'Efunsetan Aniwura' na exposé in gratuitously lazy and painfully appalling tori-telling.	negative
I dey livid	negative
THE LACK OF LANDSCAPE POSTERS FOR NOLLYWOOD FILMS	negative
ABSOLUTE RUBBISH	negative
Dis film promise so much but e come out to be gut wrenching ridiculous Rubbish!!	negative
Dem dey use smash bro's title cards to introduce di character well well.	negative
Di film just be flat and draggy.	negative
E promise laughter, but di comedy dey minimal and elicited smile instead of di hearty laughter wey you expect wen you go di cinema for a comedy	negative
Abigail no dey very good, di bad guy na bit of moustache twister, and dem figured out say e sucks for black pipo to go back in time	negative
Di lead female role na huge disappointment.	negative
Di ending na di only enjoyable part of dis for me. Good for her	negative
Dis na disgrace and disgrace to CNA. Shame dey for dis film	negative
A Trainwreck of a movie. 90s minute of dissapointing Sound editing and acting	negative
You think sey na this kind better film dey look for Africa for 2012 ? If na so , I go dey wonder if e go better for 2021 ?	negative
Knock Out Blessing na utterly useless film wey dem no suppose make, or at least wey dem no release give public Rubbish	negative
I no need am at all .	negative
for amateur actors wey also no get direction from Akinropo. Di sound dey bad, probably bikos of di lack of boom mics	negative
Suga Suga get plenti eye rolling scenes wey eventually end for anticlimactic resolution of weak conflict.	negative
Dishearteningly, Enitan's transition from lost soul to scholar and now artist dey shoved into di final minute wey remain ova afta all di bleakness.	negative
For some years wey don pass, I don see some report wey dey tok about how di kontri of Nigeria get successful domestic film industry. Even as dat fact dey surprise me, I no fit see any Nigerian film wey dey available for me to look at until I scatter dis one for Netflix. To dey honest, I dey expect say I get somethin wey fine well, and e dey true well well. Even as e get some fine shot and/or direction wey show say somethin wey dey make film too much, di film get many shortcomings.	negative
Unfortunately, we no fit bear cowboy pistols, space guns, cut & sow costumes, annoyly talentless filming and unnecessary long form remembrance ceremonies for wey dem don already show footage wey dem butter up wit ridiculously unintelligent revelations of supposed-to-be shockers wey dey apparent from di beginnin.	negative
Unfortunately, di film dey stately and sluggish wit some very daytime-soapy moments of emotional revelation.	negative
Di film no dey great, bit of overreaching of di actors (maybe over-directed?) but di context dey great	negative
Once Upon a night' na dud	negative
As e be, you no get sense of place or character bikos too much need to dey glossed ova to fit am all in	negative
Dis film dey too boring for cinema	negative
bad	negative
We call am kidnap-held hostage for fifty odd minute, dem force us make we dey excursion for di resort grounds, No recommended	negative
Dis lion no get plenti roar. Did somebody send dia failed Netflix pilot script to Nigeria like say na di lose Super Bowl team t-shirt	negative
Forceful telling and shamefully bad acting na di hallmark of dis shabby pretender - Might sound weird but; dis flick na like a fake 'Isoken'	negative
Dumb movie na joke	negative
Diabolically bad! . This na really di worst film wey I never watch for my life	negative
Action sequences no bad and e heart dey di right place, but e dey painful to dey watch for places.	negative
Even say di kinematography dey look professional, no let dis film fool you	negative
No head, no tail, bad script, total waste of time and expensive rubbish. Movie be dat kind pain to watch.	negative
dia star quality dey lack for dis film	negative
lolz	negative
Verdict: No recommended. 'Charmed' no dey charming	negative
So disappointed.. some acting moments from di main actors (king and Amina), but di actor wey dey support (Maladi), hard to tell if e dey funny relief bikos hin role suppose dey serious	negative
Rubbish! No recommended for anybodi, no even children. Very irritating movie	negative
Hand down one of di worst movies wey I neva see	negative
The worst remake be say , for Ahannah flashbacks time e see one man wey dem dey call ablaze.	negative
Rubbish . . . another piece of garbage from NETFLIX.	negative
Extremely flawed	negative
I skim dis. no way I dey watch di whole thin	negative
You go regret say you waste your time watch dis film	negative
Poor	negative
too basic	negative
Di Millions na shameless wholesale dift of 'Ocean's film series' scripts; dem no impress us	negative
"Gbarada na typical Idumota ""Yoruba film"" wit all di craziness wey kom wit dat sub-section of Nollywood"	negative
Holy one of Israel!. . Wetin Genevieve think say she just do? A film na corruption for di highest.	negative
di worst film production wey dey ever	negative
Just Crap	negative
Special Jollof still be anoda cold turkey from Nollywood inside Diaspora. And as usual; e dey highlighted by a yéyé tori and plethora of half hearted acting performance. E no get anything wey we go see hia. E dey waste moni and time.	negative
I fit confidently tok say Luna taking a shit na way wey more engaging tori pass chief daddy 2.	negative
I no know how many plane crashes dey Nigeria, and dis film kom out for five days	negative
This film Go Better If Dem Fund More ,	negative
Wit no modular direction and no subtlety, dis na long, hard slog wey friends and family of dose wey dey di cast and crew go best appreciate	negative
No value your time	negative
Utter rubbish. . E dey rare say I tire for film, I no fit finish dis one, give up afta 30min. No waste your time.	negative
ultimately dampin di film overall for wetin fit be stronger, hard-hitting and poignant emotional roller coaster	negative
Unfortunately lack of attention to detail no stop wit di above example	negative
Di Wait dey full of stars, but e no shine bright. E be like to dey tasting glass of wine wey neva fully develop,, wey dem make wit unripe grapes	negative
Dis film dey so cheesy	negative
Dis na extremely boring and terrible film	negative
Hallmarked by nonsense, 'The Culprit' dey complete and utter rubbish	negative
Had to dey watch am for academic purpose	negative
Way too slow. Na waste of time	negative
Booorrring	negative
dat film na such bad egg to Nollywood	negative
I catch di Nollywood bug as I dey watch Rattlesnake	negative
wit all im ridiculous comical exaggeration and acting performance wey dey fluctuate between over-acting and bad-acting	negative
Di production dey evriwia, and most character no dey fully develop	negative
waste of time and resources	negative
Una go hate am	negative
BUT storyline wey dey beautiful na waste of precious 2hrs	negative
Try as hard as dem fit; 'Your Excellency' proved extensively impotent, failing to deliver on hin campaign promises	negative
Absolute Garbage. . E no even worth to dey film. Actors dey weak, na one man wey dey 12 years write script.	negative
To take a scenic, soap-opera route through di Nigerian civil war of di 1960s turn out to a navigational error wey dis production wey dem appoint well no fit fully recover.	negative
Howeva, dis fail to be anytin wey no dey boring. E no get logical flow	negative
Very bad acting, but di film still dey entertaining	negative
Dis na No, No! Really bad performance from di main cast	negative
Entertaining even as e dey flawed	negative
Dis film dey feel like mish mash of under-developed ideas wit half hearted romance wey dem thrown in	negative
Di script no fit pass for high school amateur production	negative
I no like dis film well well	negative
Di acting dey bad and di writing dey worse pass.	negative
Di acting dey for best woodin, di dialogue almost staccato, as if di actors dey always dey prompted wit dia lines	negative
Everything about dis film dey tok low budget	negative
Dig to thief your time	negative
Wetin be Mess	negative
Na only for broad Nollywood comedy mode e dey feel truly convincing	negative
Charmed no dey charm, no be how!	negative
Dem dey hide and dem dey hide as dem dey go anywhere sometimes	negative
Di fact say e be musical make am absolutely TERRIBLE	negative
Utter fiction. Di acting dey awful and di tori dey unbelievable	negative
LMAO	negative
A sore disappointment, 'Levi' be drama wey no get purpose	negative
"Di film dey remarkable bikos e lack of self-pity, but e dey make di experience of ""Farming"" merciless one for di audience too"	negative
I dey convinced say e go far beta as 10 to 30 minute short film to test di waters	negative
drama wey no get purpose	negative
Well intended but amateurish attempt to move di viewer	negative
Think am sey you dey try to make indomie witout spice . This film no too bad at 5 minutes to di end you still dey wonder wetin dey apun o	negative
Di screenplay dey ridiculous	negative
Dem just seed togeda different jokes, memes and videos of small known comics wey don viral for Nigerian social media, dem call am dia own movie kom bring am for cinema. If you be big for social media, you go see plenti of dem, plenti time before. And you no go fit find dem dey very funny here as di producers even fail to excel for plagiarism, leaving 'Social Media 101' wey dey plagued by bottom of di barrel acting, very boring dialogue and enjoy horrible scene lighting. All dis na round ridiculous.	negative
"Dis film dey ugly. ""Ugly"" must be di word"	negative
Another Nigerian movie With Lot of Hype but Very Empty.. I no go recommend am to anybody	negative
No be bad - but di script and directing suffers overall.	negative
Di opening of di film dey braking. Backstory for Laila's appearance no dey	negative
Very poor tori wey dem dey tell and a massive rewrite of history bikos of di film plot	negative
Gratuitous. And senseless.	negative
No be big film	negative
Dis film dey eyeore	negative
E tell us one story wey pesin fit swear na one primary school pupil write am quick quick for last year's Cultural Day drama presentation	negative
If you value your time, work hard to dodge dis for premium	negative
fi film dey bad, but e dey important	negative
If I be film prof wey dey try get away wit torture my students, I really no fit think of a beta fit for a required screening.	negative
too long, bad acting, too much irrelevance	negative
Forceful telling and shamefully bad things na di main character of dis shabby pretender	negative
How kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin kin	negative
Dis na tori wey get di potential for critical acclaim, but di execution dey poor and e dey easy to forget am	negative
Dis film get less charisma dan di 'Third Eye' series wey kom from di nineties wit Pa Olu Jacobs.	negative
Nollywood dey disgracing us	negative
Survival of Jelili na pageantry of di absurd and flagrant eyesore	negative
For di conclusion of di original Chief Daddy film, di introduction of a new character for di last scene na hint for sequel, but Chief Daddy 2 take di sophomore curse to a new level of low.	negative
You no suppose to end there.. unprofessional screenwriter	negative
Di plot dey unrealistic and e dey evriwia for di place	negative
Plenty waste of time and money	negative
dis film dey lame, even pikin no go like am	negative
